,lon,lat,new_time,trip_id
4989,-80.220415,40.53918,2019-08-01 12:14:05-04:00,24
4990,-80.221,40.53875,2019-08-01 12:14:08-04:00,24
4991,-80.221605,40.53835,2019-08-01 12:14:11-04:00,24
4992,-80.22278,40.5376,2019-08-01 12:14:17-04:00,24
4993,-80.22334,40.53724,2019-08-01 12:14:20-04:00,24
4994,-80.22388,40.5369,2019-08-01 12:14:23-04:00,24
4995,-80.22437,40.5366,2019-08-01 12:14:26-04:00,24
4996,-80.225995,40.535795,2019-08-01 12:14:41-04:00,24
4997,-80.226335,40.535645,2019-08-01 12:14:45-04:00,24
4998,-80.226675,40.535495,2019-08-01 12:14:49-04:00,24
4999,-80.226995,40.53536,2019-08-01 12:14:53-04:00,24
5000,-80.227765,40.53504,2019-08-01 12:15:04-04:00,24
5001,-80.228075,40.534895,2019-08-01 12:15:08-04:00,24
5002,-80.22865,40.534495,2019-08-01 12:15:17-04:00,24
5003,-80.22883,40.53431,2019-08-01 12:15:21-04:00,24
5033,-80.25041,40.52612,2019-08-01 12:17:46-04:00,24
